medicine_name,category,primary_disease,dosage_form,dosage_strength,side_effects,average_price,manufacturer,prescription_required
16,6,3,5,3,2,101,3,1
16,6,3,5,0,1,55,3,1
16,6,3,4,0,0,83,0,1
16,6,3,5,5,3,73,0,1
16,6,3,4,5,2,10,2,0
8,6,8,5,2,0,104,1,1
8,6,8,5,3,3,125,3,1
8,6,8,5,1,3,75,4,0
8,6,8,5,1,0,55,2,1
8,6,8,5,3,1,68,2,1
2,6,5,5,0,0,32,2,1
2,6,5,5,2,0,63,0,1
2,6,5,5,4,1,72,0,0
2,6,5,5,2,1,128,2,1
2,6,5,5,4,3,90,0,0
11,1,2,5,3,3,145,3,1
11,1,2,5,4,2,78,4,1
11,1,2,5,0,1,68,4,0
11,1,2,5,0,2,107,0,1
11,1,2,5,5,3,86,2,1
9,1,2,2,2,3,118,1,1
9,1,2,2,0,2,149,1,0
9,1,2,2,1,1,78,4,0
9,1,2,2,1,0,142,2,1
9,1,2,2,5,3,151,3,1
1,0,9,0,0,2,103,2,0
1,0,9,0,0,1,100,2,0
1,0,9,5,3,0,126,1,1
1,0,9,0,3,2,51,4,1
1,0,9,0,3,2,66,4,1
4,0,9,5,2,3,27,4,1
4,0,9,5,3,3,197,1,1
4,0,9,5,5,3,90,2,1
4,0,9,5,1,1,77,4,1
4,0,9,5,5,1,82,3,1
0,2,6,5,5,1,178,0,1
0,2,6,5,1,3,166,1,1
0,2,6,5,5,1,129,3,1
0,2,6,5,2,0,44,4,1
0,2,6,5,0,0,83,3,0
10,2,6,5,3,1,108,1,1
10,2,6,5,3,2,41,4,1
10,2,6,5,1,3,64,4,1
10,2,6,5,2,0,44,1,1
10,2,6,5,1,3,134,0,0
3,4,5,5,2,3,181,3,0
3,4,5,5,0,1,30,1,0
3,4,5,5,2,3,27,4,1
3,4,5,5,0,2,91,3,1
3,4,5,5,2,0,51,0,1
17,8,0,1,4,2,26,1,1
17,8,0,1,5,3,78,2,1
17,8,0,1,2,1,101,3,1
17,8,0,1,0,1,20,0,1
17,8,0,1,5,3,114,2,0
12,8,0,5,0,3,95,1,0
12,8,0,5,5,3,71,4,0
12,8,0,5,4,2,108,3,1
12,8,0,5,3,2,71,4,1
12,8,0,5,1,2,60,0,0
5,0,10,5,1,1,44,0,1
5,0,10,5,1,0,86,0,0
5,0,10,5,5,2,41,3,1
5,0,10,5,1,1,135,0,0
5,0,10,5,4,3,100,3,1
14,5,7,0,2,3,234,2,0
14,5,7,0,3,0,86,1,1
14,5,7,0,2,2,45,0,0
14,5,7,0,5,3,10,3,1
14,5,7,0,3,2,97,2,0
15,5,7,5,3,0,165,2,1
15,5,7,5,1,3,105,0,1
15,5,7,5,5,3,62,0,1
15,5,7,5,4,0,13,4,1
15,5,7,5,5,0,75,4,1
6,0,10,0,4,2,113,3,0
6,0,10,0,4,0,32,4,1
6,0,10,0,3,2,89,4,1
6,0,10,0,2,3,107,2,1
6,0,10,0,2,2,103,0,1
7,3,1,5,4,3,74,0,0
7,3,1,5,5,3,61,3,1
7,3,1,5,1,2,93,2,1
7,3,1,5,1,1,117,2,1
7,3,1,5,4,1,97,4,0
18,9,4,0,0,3,125,3,1
18,9,4,5,2,0,84,4,1
18,9,4,5,1,0,62,0,1
18,9,4,5,5,1,94,3,0
18,9,4,0,3,2,52,3,0
19,9,4,5,3,0,147,1,0
19,9,4,5,3,0,10,4,0
19,9,4,5,2,3,71,3,0
19,9,4,5,0,2,123,4,1
19,9,4,5,3,3,18,1,1
13,7,1,3,3,2,46,4,0
13,7,1,3,5,1,84,2,1
13,7,1,3,4,2,90,1,1
13,7,1,3,3,1,66,3,1
13,7,1,3,2,1,89,0,1
