date,temperature,humidity,rainfall,wind_speed,air_quality_index,uv_index,season,city_Ahmedabad,city_Bangalore,city_Bhopal,city_Chennai,city_Delhi,city_Ghaziabad,city_Hyderabad,city_Indore,city_Jaipur,city_Kanpur,city_Kolkata,city_Lucknow,city_Ludhiana,city_Mumbai,city_Nagpur,city_Patna,city_Pune,city_Surat,city_Vadodara
2016-01-01,19.3,40.7,0.4,13.9,50,11,3,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2016-01-02,45.0,61.1,8.2,14.4,150,2,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2016-01-03,41.8,53.3,2.1,15.7,150,11,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-01-04,29.0,97.2,5.1,13.4,300,5,3,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2016-01-05,25.7,65.5,3.2,11.9,100,5,3,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2016-01-06,31.1,64.0,6.6,6.3,200,5,3,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
2016-01-07,34.2,58.3,1.6,4.7,50,11,3,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2016-01-08,25.5,20.3,0.4,6.6,200,5,3,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2016-01-09,20.5,76.2,6.6,12.0,300,5,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2016-01-10,33.8,20.0,6.3,10.4,200,2,3,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2016-01-11,15.0,80.2,6.1,6.8,50,2,3,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2016-01-12,36.1,29.6,7.8,1.4,50,5,3,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2016-01-13,30.4,56.3,4.1,7.2,300,5,3,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2016-01-14,15.0,94.6,0.4,14.3,300,5,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2016-01-15,26.5,78.7,2.0,12.1,100,5,3,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-01-16,45.0,68.1,1.2,4.8,50,8,3,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-01-17,32.4,80.3,3.4,4.9,300,11,3,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-01-18,29.3,76.3,6.7,14.0,50,8,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2016-01-19,24.9,61.4,1.9,12.2,200,11,3,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-01-20,30.5,66.7,7.4,0.9,50,5,3,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
2016-01-21,29.3,51.8,13.7,15.5,100,2,3,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
2016-01-22,21.9,92.2,2.3,4.3,100,2,3,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
2016-01-23,15.0,85.1,1.8,2.5,300,2,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-01-24,18.5,36.4,1.2,1.2,100,5,3,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-01-25,27.7,98.2,4.7,0.7,200,8,3,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-01-26,15.1,93.1,4.8,10.1,200,8,3,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
2016-01-27,29.8,84.7,1.4,11.1,300,5,3,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-01-28,23.4,49.8,7.6,1.6,200,5,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2016-01-29,31.1,75.6,6.7,12.8,50,8,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2016-01-30,45.0,42.1,0.7,4.1,300,2,3,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-01-31,23.8,59.0,1.0,1.5,200,8,3,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-02-01,28.0,48.1,1.1,-2.2,300,11,3,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-02-02,43.1,50.7,1.9,19.0,150,8,3,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2016-02-03,19.2,76.6,7.4,6.2,50,8,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2016-02-04,32.6,42.5,7.9,9.2,300,11,3,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-02-05,27.4,70.1,12.1,5.5,200,5,3,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-02-06,29.2,44.3,10.1,8.0,300,11,3,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
2016-02-07,34.6,95.3,0.5,8.5,50,5,3,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
2016-02-08,15.0,41.1,4.0,4.6,200,2,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2016-02-09,17.4,85.1,6.2,11.1,100,2,3,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2016-02-10,24.5,68.3,1.2,5.9,50,5,3,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
2016-02-11,25.5,93.5,3.1,24.0,100,5,3,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2016-02-12,32.7,70.5,9.1,17.7,100,8,3,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
2016-02-13,33.9,34.3,0.9,11.1,100,2,3,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-02-14,25.4,65.2,6.7,12.3,50,5,3,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-02-15,26.0,43.8,4.0,10.3,50,5,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
2016-02-16,31.4,43.6,5.5,3.9,200,11,3,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
2016-02-17,28.8,53.6,5.0,-0.1,200,8,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2016-02-18,29.2,47.6,0.4,11.5,200,11,3,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-02-19,15.0,59.7,7.4,7.6,100,8,3,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2016-02-20,29.3,66.7,0.3,12.8,300,5,3,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2016-02-21,37.8,43.4,2.4,6.8,50,8,3,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
2016-02-22,18.9,51.5,9.6,4.4,150,8,3,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-02-23,23.8,77.0,1.9,1.1,50,11,3,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-02-24,15.0,70.1,3.0,5.5,100,8,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2016-02-25,43.7,63.5,0.6,9.8,150,8,3,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
