date,city,temperature,humidity,rainfall,wind_speed,air_quality_index,uv_index,season
2016-01-01,Ludhiana,19.3,40.7,0.4,13.9,50,11,Winter
2016-01-02,Surat,45.0,61.1,8.2,14.4,150,2,Winter
2016-01-03,Agra,41.8,53.3,2.1,15.7,150,11,Winter
2016-01-04,Indore,29.0,97.2,5.1,13.4,300,5,Winter
2016-01-05,Kolkata,25.7,65.5,3.2,11.9,100,5,Winter
2016-01-06,Mumbai,31.1,64.0,6.6,6.3,200,5,Winter
2016-01-07,Lucknow,34.2,58.3,1.6,4.7,50,11,Winter
2016-01-08,Indore,25.5,20.3,0.4,6.6,200,5,Winter
2016-01-09,Patna,20.5,76.2,6.6,12.0,300,5,Winter
2016-01-10,Ludhiana,33.8,20.0,6.3,10.4,200,2,Winter
2016-01-11,Indore,15.0,80.2,6.1,6.8,50,2,Winter
2016-01-12,Indore,36.1,29.6,7.8,1.4,50,5,Winter
2016-01-13,Ludhiana,30.4,56.3,4.1,7.2,300,5,Winter
2016-01-14,Surat,15.0,94.6,0.4,14.3,300,5,Winter
2016-01-15,Delhi,26.5,78.7,2.0,12.1,100,5,Winter
2016-01-16,Bhopal,45.0,68.1,1.2,4.8,50,8,Winter
2016-01-17,Chennai,32.4,80.3,3.4,4.9,300,11,Winter
2016-01-18,Vadodara,29.3,76.3,6.7,14.0,50,8,Winter
2016-01-19,Delhi,24.9,61.4,1.9,12.2,200,11,Winter
2016-01-20,Mumbai,30.5,66.7,7.4,0.9,50,5,Winter
2016-01-21,Jaipur,29.3,51.8,13.7,15.5,100,2,Winter
2016-01-22,Hyderabad,21.9,92.2,2.3,4.3,100,2,Winter
2016-01-23,Agra,15.0,85.1,1.8,2.5,300,2,Winter
2016-01-24,Ahmedabad,18.5,36.4,1.2,1.2,100,5,Winter
2016-01-25,Ahmedabad,27.7,98.2,4.7,0.7,200,8,Winter
2016-01-26,Kanpur,15.1,93.1,4.8,10.1,200,8,Winter
2016-01-27,Bangalore,29.8,84.7,1.4,11.1,300,5,Winter
2016-01-28,Nagpur,23.4,49.8,7.6,1.6,200,5,Winter
2016-01-29,Vadodara,31.1,75.6,6.7,12.8,50,8,Winter
2016-01-30,Bhopal,45.0,42.1,0.7,4.1,300,2,Winter
2016-01-31,Bangalore,23.8,59.0,1.0,1.5,200,8,Winter
2016-02-01,Bangalore,28.0,48.1,1.1,-2.2,300,11,Winter
2016-02-02,Kolkata,43.1,50.7,1.9,19.0,150,8,Winter
2016-02-03,Patna,19.2,76.6,7.4,6.2,50,8,Winter
2016-02-04,Bangalore,32.6,42.5,7.9,9.2,300,11,Winter
2016-02-05,Bangalore,27.4,70.1,12.1,5.5,200,5,Winter
2016-02-06,Hyderabad,29.2,44.3,10.1,8.0,300,11,Winter
2016-02-07,Jaipur,34.6,95.3,0.5,8.5,50,5,Winter
2016-02-08,Patna,15.0,41.1,4.0,4.6,200,2,Winter
2016-02-09,Lucknow,17.4,85.1,6.2,11.1,100,2,Winter
2016-02-10,Jaipur,24.5,68.3,1.2,5.9,50,5,Winter
2016-02-11,Lucknow,25.5,93.5,3.1,24.0,100,5,Winter
2016-02-12,Hyderabad,32.7,70.5,9.1,17.7,100,8,Winter
2016-02-13,Ahmedabad,33.9,34.3,0.9,11.1,100,2,Winter
2016-02-14,Chennai,25.4,65.2,6.7,12.3,50,5,Winter
2016-02-15,Pune,26.0,43.8,4.0,10.3,50,5,Winter
2016-02-16,Hyderabad,31.4,43.6,5.5,3.9,200,11,Winter
2016-02-17,Patna,28.8,53.6,5.0,-0.1,200,8,Winter
2016-02-18,Ghaziabad,29.2,47.6,0.4,11.5,200,11,Winter
2016-02-19,Lucknow,15.0,59.7,7.4,7.6,100,8,Winter
2016-02-20,Lucknow,29.3,66.7,0.3,12.8,300,5,Winter
2016-02-21,Kanpur,37.8,43.4,2.4,6.8,50,8,Winter
2016-02-22,Ghaziabad,18.9,51.5,9.6,4.4,150,8,Winter
2016-02-23,Chennai,23.8,77.0,1.9,1.1,50,11,Winter
2016-02-24,Vadodara,15.0,70.1,3.0,5.5,100,8,Winter
2016-02-25,Bangalore,43.7,63.5,0.6,9.8,150,8,Winter
2016-02-26,Ahmedabad,35.4,56.2,17.3,9.3,100,5,Winter
2016-02-27,Lucknow,30.9,95.0,2.3,2.6,200,11,Winter
2016-02-28,Vadodara,33.9,82.6,2.8,7.9,100,5,Winter
2016-02-29,Surat,15.0,79.5,7.4,5.7,150,5,Winter
2016-03-01,Kanpur,22.6,82.6,2.2,7.9,100,8,Summer
2016-03-02,Vadodara,24.3,91.8,1.2,19.1,150,8,Summer
2016-03-03,Kolkata,45.0,20.0,0.2,13.4,100,5,Summer
2016-03-04,Nagpur,28.6,69.2,5.1,2.5,100,8,Summer
2016-03-05,Bhopal,25.4,61.0,4.0,5.2,300,8,Summer
2016-03-06,Vadodara,42.4,38.2,2.2,10.1,150,5,Summer
2016-03-07,Lucknow,19.4,20.0,10.6,14.9,100,11,Summer
2016-03-08,Bangalore,31.5,57.2,5.5,11.7,50,8,Summer
2016-03-09,Mumbai,29.5,78.4,4.4,15.5,300,2,Summer
2016-03-10,Indore,15.0,72.0,10.1,-1.7,100,5,Summer
